order_number,order_date,customer_name,channel,product_name,quantity,unit_price,revenue,cost,state,state_name,us_region,lat,lon,budget
SO - 0010052,2017-03-09,Johnson Ltd,Wholesale,Product 12,9,1681.7,15135.300000000001,924.9350000000001,WA,Washington,West,45.63873,-122.66149,1356976.996
SO - 0001083,2017-03-09,Accord Group,Export,Product 4,6,1842.5,11055.0,976.5250000000001,KY,Kentucky,South,37.77422,-87.11333,2885560.824
SO - 0003724,2017-03-09,Browsetype Corp,Export,Product 27,9,3832.4,34491.6,1647.932,AZ,Arizona,West,33.35283,-111.78903,964940.2310000001
SO - 0004324,2017-03-09,Zooxo Ltd,Wholesale,Product 29,11,1105.5,12160.5,442.20000000000005,PA,Pennsylvania,Northeast,40.12364,-74.86738,594471.5700000001
SO - 0006311,2017-03-09,Pfizer Corp,Distributor,Product 16,7,2780.5,19463.5,2057.57,IN,Indiana,Midwest,39.87632,-86.14291,2062061.144
SO - 0006501,2017-03-09,BB17 Company,Export,Product 15,12,3912.8,46953.600000000006,1995.528,FL,Florida,South,26.10037,-80.39977,3299478.315
SO - 0007690,2017-03-09,Voolith Ltd,Wholesale,Product 12,11,716.9,7885.9,465.985,MA,Massachusetts,Northeast,42.37649,-71.23561,1356976.996
SO - 0007976,2017-03-09,Remedy Ltd,Wholesale,Product 13,7,984.9,6894.3,482.601,IL,Illinois,Midwest,41.86472,-87.87119,3720639.645
SO - 0008832,2017-03-09,Zooxo Ltd,Distributor,Product 30,11,207.70000000000002,2284.7000000000003,114.23500000000001,CA,California,West,34.14778,-118.14452,1011609.684
SO - 0008766,2017-03-09,Zoonder Group,Wholesale,Product 27,7,3705.1,25935.7,2778.825,CA,California,West,33.95333,-117.39611,964940.2310000001
SO - 0009882,2017-03-09,Avavee Group,Distributor,Product 6,12,1125.6000000000001,13507.2,956.7600000000001,CA,California,West,34.06862,-117.93895,1672229.416
SO - 000126,2017-03-09,Mydo Corp,Wholesale,Product 6,11,174.20000000000002,1916.2000000000003,95.81000000000002,IL,Illinois,Midwest,40.74495,-89.60964,1672229.416
SO - 0001875,2017-03-09,NCS Group,Wholesale,Product 25,10,3825.7000000000003,38257.0,2333.677,MA,Massachusetts,Northeast,42.3751,-71.10561,5342315.484
SO - 0003321,2017-03-09,NARS Group,Wholesale,Product 15,5,1078.7,5393.5,690.368,CA,California,West,38.70712,-121.28106,3299478.315
SO - 0005557,2017-03-09,Aveda Group,Wholesale,Product 25,11,683.4,7517.4,314.364,LA,Louisiana,South,29.95465,-90.07507,5342315.484
SO - 0005726,2017-03-09,Accord Group,Distributor,Product 4,10,5768.7,57687.0,4268.838,NJ,New Jersey,Northeast,40.63371,-74.40737,2885560.824
SO - 0010310,2017-03-09,Eidel Corp,Export,Product 26,7,5125.5,35878.5,3792.87,FL,Florida,South,28.01057,-82.57732,5685138.2700000005
SO - 0009341,2017-03-09,Voolith Ltd,Distributor,Product 14,6,1695.1000000000001,10170.6,1373.0310000000002,CA,California,West,34.05529,-117.75228,4028698.4090000005
SO - 0009532,2017-03-09,Eayo Company,Wholesale,Product 7,6,3417.0,20502.0,2084.37,WI,Wisconsin,Midwest,43.80136,-91.23958,889737.555
SO - 0001926,2017-03-09,Colgate-Pa Group,Distributor,Product 14,9,1038.5,9346.5,882.725,IL,Illinois,Midwest,41.84454,-87.75929,4028698.4090000005
SO - 0002593,2017-03-09,Skinder Group,Wholesale,Product 4,7,2391.9,16743.3,1626.4920000000002,FL,Florida,South,27.77086,-82.67927,2885560.824
SO - 0003274,2017-03-09,Cadila Ltd,Wholesale,Product 19,12,3912.8,46953.600000000006,1799.8880000000001,CA,California,West,34.10834,-117.28977,1645841.6
SO - 0004294,2017-03-09,Voolia Ltd,Distributor,Product 6,11,3872.6,42598.6,2633.368,CA,California,West,36.20773,-119.34734,1672229.416
SO - 0005566,2017-03-09,Aromaticos Company,Distributor,Product 18,8,174.20000000000002,1393.6000000000001,142.844,CA,California,West,37.90631,-122.06496,2309499.045
SO - 0010248,2017-03-09,Shuffledri Group,Wholesale,Product 24,6,194.3,1165.8000000000002,157.383,OR,Oregon,West,45.43123,-122.77149,756557.97
SO - 0010048,2017-03-09,Vimbo Company,Distributor,Product 25,5,5540.900000000001,27704.500000000004,2437.996,FL,Florida,South,26.33981,-81.7787,5342315.484
SO - 0001347,2017-03-09,SUPERVALU Ltd,Export,Product 14,11,877.7,9654.7,465.18100000000004,IN,Indiana,Midwest,37.96821,-87.49674,4028698.4090000005
SO - 0002123,2017-03-09,Mydo Corp,Wholesale,Product 19,5,3966.4,19832.0,2697.152,NY,New York,Northeast,40.63396,-73.6091,1645841.6
SO - 0005929,2017-03-09,BB17 Company,Wholesale,Product 3,10,241.20000000000002,2412.0,130.24800000000002,CT,Connecticut,Northeast,41.67176,-72.94927,2642352.432
SO - 0007460,2017-03-09,Zoomdog Corp,Wholesale,Product 5,10,1011.7,10117.0,556.4350000000001,CA,California,West,34.05557,-117.18254,3925424.5420000004
SO - 0001020,2017-03-10,Omba Group,Distributor,Product 27,10,194.3,1943.0,137.953,MN,Minnesota,Midwest,45.07246,-93.45579,964940.2310000001
SO - 0001497,2017-03-10,Accord Group,Wholesale,Product 4,6,1735.3,10411.8,780.885,DC,District of Columbia,South,38.9041,-77.01723,2885560.824
SO - 0005351,2017-03-10,Eayo Company,Wholesale,Product 3,11,227.8,2505.8,95.676,CA,California,West,34.00944,-118.10528,2642352.432
SO - 0005691,2017-03-10,Buzzbean Group,Wholesale,Product 9,5,1125.6000000000001,5628.000000000001,945.5040000000001,FL,Florida,South,30.43826,-84.28073,710415.405
SO - 0005849,2017-03-10,Browsetype Corp,Wholesale,Product 23,5,3778.8,18894.0,1662.672,PA,Pennsylvania,Northeast,39.95234,-75.16379,1135815.7580000001
SO - 0009454,2017-03-10,Golden Corp,Distributor,Product 26,12,3999.9,47998.8,2159.9460000000004,NC,North Carolina,South,36.09986,-80.24422,5685138.2700000005
SO - 0008735,2017-03-10,Topco Company,Wholesale,Product 2,10,1695.1000000000001,16951.0,1406.933,CA,California,West,32.71533,-117.15726,3050087.565
SO - 0001826,2017-03-10,Cogilith Group,Wholesale,Product 25,7,2458.9,17212.3,1524.518,NY,New York,Northeast,43.1009,-75.23266,5342315.484
SO - 0003108,2017-03-10,Cantrell Company,Export,Product 2,6,1125.6000000000001,6753.6,529.032,CA,California,West,35.76884,-119.24705,3050087.565
SO - 0003524,2017-03-10,Zooveo Company,Wholesale,Product 1,9,984.9,8864.1,512.148,MI,Michigan,Midwest,42.48948,-83.14465,3016489.209
SO - 0004598,2017-03-10,Skiptube Ltd,Wholesale,Product 3,6,2599.6,15597.599999999999,1637.748,NE,Nebraska,Midwest,41.13667,-95.89084,2642352.432
SO - 0005264,2017-03-10,Divanoodle Ltd,Distributor,Product 5,6,824.1,4944.6,354.363,NC,North Carolina,South,35.78088,-78.81327,3925424.5420000004
SO - 0005932,2017-03-10,Lazzy Group,Wholesale,Product 18,8,6344.900000000001,50759.200000000004,3616.593,MA,Massachusetts,Northeast,42.52787,-70.92866,2309499.045
SO - 0004366,2017-03-10,Sanum-Kehl Group,Distributor,Product 23,10,1929.6000000000001,19296.0,1041.9840000000002,AL,Alabama,South,32.36681,-86.29997,1135815.7580000001
SO - 0006349,2017-03-10,Mycone Ltd,Wholesale,Product 15,10,804.0,8040.0,329.64,CA,California,West,37.38605,-122.08385,3299478.315
SO - 0006610,2017-03-10,General Company,Wholesale,Product 15,10,1105.5,11055.0,795.9599999999999,KS,Kansas,Midwest,39.11417,-94.62746,3299478.315
SO - 0007855,2017-03-10,sanofi-ave Group,Wholesale,Product 7,9,958.1,8622.9,421.564,IN,Indiana,Midwest,41.66997,-86.27628,889737.555
SO - 0009695,2017-03-10,Skinder Group,Distributor,Product 13,12,1005.0,12060.0,613.05,OH,Ohio,Midwest,39.162,-84.45689,3720639.645
SO - 0008699,2017-03-10,Colgate-Pa Group,Wholesale,Product 18,12,3993.2000000000003,47918.4,1916.736,CA,California,West,33.42697,-117.61199,2309499.045
SO - 0008854,2017-03-10,Wordtune Company,Distributor,Product 25,11,2680.0,29480.0,1608.0,MA,Massachusetts,Northeast,42.70704,-71.16311,5342315.484
SO - 0009434,2017-03-10,Deseret Group,Wholesale,Product 14,7,1085.4,7597.800000000001,738.0720000000001,CA,California,West,37.33939,-121.89496,4028698.4090000005
SO - 0010738,2017-03-10,Revitol Company,Wholesale,Product 2,12,1896.1000000000001,22753.2,1573.7630000000001,NV,Nevada,West,36.21108,-115.07306,3050087.565
SO - 000189,2017-03-10,Viva Ltd,Export,Product 12,9,3953.0,35577.0,3360.0499999999997,NJ,New Jersey,Northeast,40.76732,-74.20487,1356976.996
SO - 000326,2017-03-10,Gigabox Group,Wholesale,Product 22,11,1212.7,13339.7,945.9060000000001,CA,California,West,38.58157,-121.4944,663601.902
SO - 0003406,2017-03-10,Zava Group,Wholesale,Product 6,7,6137.2,42960.4,4296.04,CA,California,West,33.52253,-117.70755,1672229.416
SO - 0004176,2017-03-10,Aibox Company,Distributor,Product 8,7,3309.8,23168.600000000002,2647.84,OH,Ohio,Midwest,40.8686,-81.36892,1085037.3290000001
SO - 0004849,2017-03-10,Bath Group,Wholesale,Product 4,11,3859.2000000000003,42451.200000000004,1929.6000000000001,CA,California,West,34.42083,-119.69819,2885560.824
SO - 0005581,2017-03-10,Jaxbean Group,Wholesale,Product 10,6,1855.9,11135.400000000001,816.596,TX,Texas,South,32.98836,-96.89977,864331.624
SO - 0006146,2017-03-10,Aldi Ltd,Distributor,Product 4,8,1078.7,8629.6,442.267,NC,North Carolina,South,35.40875,-80.57951,2885560.824
SO - 0009238,2017-03-10,Revitol Company,Distributor,Product 25,10,3999.9,39999.0,2119.947,IL,Illinois,Midwest,42.19779,-87.94553,5342315.484
SO - 0001041,2017-03-10,Deseret Group,Distributor,Product 20,12,2224.4,26692.800000000003,1401.372,IN,Indiana,Midwest,39.61366,-86.10665,2067108.1199999999
SO - 0002098,2017-03-10,Oozz Group,Distributor,Product 15,8,5038.400000000001,40307.200000000004,3526.88,CT,Connecticut,Northeast,41.27065,-72.94705,3299478.315
SO - 0007185,2017-03-10,Trunyx Ltd,Wholesale,Product 26,5,1715.2,8576.0,771.84,NY,New York,Northeast,43.20981,-77.57206,5685138.2700000005
SO - 0009462,2017-03-10,Snaptags Ltd,Wholesale,Product 27,8,247.9,1983.2,114.034,IN,Indiana,Midwest,39.77514,-86.01718,964940.2310000001
SO - 0009452,2017-03-10,Pixoboo Corp,Wholesale,Product 1,7,737.0,5159.0,574.86,MI,Michigan,Midwest,42.30754,-83.48577,3016489.209
SO - 0001957,2017-03-10,SEINDNI Corp,Wholesale,Product 21,9,1031.8,9286.199999999999,835.758,IN,Indiana,Midwest,41.68199,-85.97667,959899.2180000001
SO - 0002645,2017-03-10,Accudial Company,Wholesale,Product 20,7,227.8,1594.6000000000001,95.676,TX,Texas,South,29.55576,-95.32307,2067108.1199999999
SO - 0004305,2017-03-10,Rooxo Company,Export,Product 26,10,221.1,2211.0,112.761,VA,Virginia,South,36.83543,-76.29827,5685138.2700000005
SO - 0005368,2017-03-10,Fivechat Company,Export,Product 4,5,2559.4,12797.0,1330.8880000000001,NY,New York,Northeast,40.93121,-73.89875,2885560.824
SO - 0005378,2017-03-10,SAFEWAY Ltd,Export,Product 26,11,6056.8,66624.8,5148.28,MO,Missouri,Midwest,38.78922,-90.32261,5685138.2700000005
SO - 0006272,2017-03-10,Meejo Corp,Wholesale,Product 12,6,2659.9,15959.400000000001,1649.1380000000001,IN,Indiana,Midwest,41.47812,-87.46166,1356976.996
SO - 0006884,2017-03-10,Kare Corp,Distributor,Product 12,9,1788.9,16100.1,1484.787,CA,California,West,38.10409,-122.25664,1356976.996
SO - 0009937,2017-03-10,Organon Corp,Wholesale,Product 18,7,1943.0,13601.0,835.49,CA,California,West,32.79477,-116.96253,2309499.045
SO - 0009933,2017-03-10,Kazu Corp,Wholesale,Product 10,11,3497.4,38471.4,2937.816,NY,New York,Northeast,41.05369,-73.94809,864331.624
SO - 0010434,2017-03-10,EMD Group,Wholesale,Product 9,12,2539.3,30471.600000000002,1244.257,FL,Florida,South,26.0112,-80.14949,710415.405
SO - 000769,2017-03-11,Talane Group,Wholesale,Product 7,10,1226.1000000000001,12261.000000000002,588.528,MI,Michigan,Midwest,42.6731,-83.03656,889737.555
SO - 0006446,2017-03-11,Family Corp,Distributor,Product 3,8,2331.6,18652.8,1025.904,TN,Tennessee,South,35.61452,-88.81395,2642352.432
SO - 0006913,2017-03-11,Buzzshare Company,Distributor,Product 28,11,1869.3,20562.3,1271.124,PA,Pennsylvania,Northeast,40.03788,-76.30551,1003867.767
SO - 0002373,2017-03-11,Mylan Corp,Export,Product 25,8,174.20000000000002,1393.6000000000001,101.036,CA,California,West,38.75212,-121.28801,5342315.484
SO - 0002727,2017-03-11,Pacific Ltd,Export,Product 4,9,1005.0,9045.0,854.25,AZ,Arizona,West,33.41477,-111.90931,2885560.824
SO - 0005601,2017-03-11,Topco Company,Wholesale,Product 2,10,1695.1000000000001,16951.0,1406.933,NJ,New Jersey,Northeast,40.40463,-74.30854,3050087.565
SO - 0006419,2017-03-11,Skiptube Ltd,Distributor,Product 14,10,1058.6000000000001,10586.000000000002,666.9180000000001,CA,California,West,33.99307,-117.96868,4028698.4090000005
SO - 0008495,2017-03-11,Colgate-Pa Group,Wholesale,Product 1,9,670.0,6030.0,435.5,CA,California,West,33.87224,-117.87034,3016489.209
SO - 0010067,2017-03-11,Skyvu Group,Export,Product 10,11,2458.9,27047.9,1524.518,VA,Virginia,South,38.44957,-78.86892,864331.624
SO - 0010021,2017-03-11,Chatterpoi Corp,Distributor,Product 1,9,1072.0,9648.0,493.12,MI,Michigan,Midwest,42.60559,-83.14993,3016489.209
SO - 0008384,2017-03-11,Pacific Ltd,Wholesale,Product 26,7,2211.0,15477.0,1392.93,NJ,New Jersey,Northeast,40.66399,-74.2107,5685138.2700000005
SO - 0003977,2017-03-11,MEIJER Corp,Export,Product 5,8,1031.8,8254.4,784.168,NJ,New Jersey,Northeast,40.77955,-74.02375,3925424.5420000004
SO - 0004466,2017-03-11,American Corp,Wholesale,Product 23,8,174.20000000000002,1393.6000000000001,85.358,LA,Louisiana,South,30.45075,-91.15455,1135815.7580000001
SO - 0005241,2017-03-11,Aibox Company,Wholesale,Product 12,7,214.4,1500.8,124.35199999999999,FL,Florida,South,28.53834,-81.37924,1356976.996
SO - 0006682,2017-03-11,Revitol Company,Wholesale,Product 14,12,3664.9,43978.8,2198.94,IL,Illinois,Midwest,41.83755,-87.68184,4028698.4090000005
SO - 0010309,2017-03-11,Podcat Corp,Wholesale,Product 16,11,1018.4,11202.4,824.904,CO,Colorado,West,39.91942,-104.94281,2062061.144
SO - 0010184,2017-03-11,Skiptube Ltd,Wholesale,Product 25,9,254.6,2291.4,152.76,CA,California,West,38.79073,-121.23578,5342315.484
SO - 0009303,2017-03-11,Avavee Group,Wholesale,Product 16,12,837.5,10050.0,628.125,AL,Alabama,South,32.36681,-86.29997,2062061.144
SO - 000921,2017-03-11,Topco Company,Export,Product 14,7,3819.0,26733.0,3207.96,OR,Oregon,West,44.04624,-123.02203,4028698.4090000005
SO - 0002200,2017-03-11,Cogilith Group,Distributor,Product 13,9,3819.0,34371.0,1565.79,PA,Pennsylvania,Northeast,42.08594,-80.1199,3720639.645
SO - 0002919,2017-03-11,True Ltd,Export,Product 25,6,971.5,5829.0,806.3449999999999,CA,California,West,38.10742,-122.5697,5342315.484
SO - 0003286,2017-03-11,Realbridge Corp,Wholesale,Product 13,9,2331.6,20984.399999999998,1538.856,CA,California,West,33.60002,-117.672,3720639.645
SO - 0004023,2017-03-11,Camido Company,Wholesale,Product 26,5,1775.5,8877.5,1384.89,MI,Michigan,Midwest,42.6731,-83.03656,5685138.2700000005
SO - 0004063,2017-03-11,Dynazzy Company,Wholesale,Product 4,5,1145.7,5728.5,928.017,FL,Florida,South,26.06287,-80.2331,2885560.824
SO - 0005906,2017-03-11,Cantrell Company,Wholesale,Product 25,6,2217.7000000000003,13306.2,1618.921,MD,Maryland,South,39.4015,-76.60191,5342315.484
SO - 0005954,2017-03-11,Talane Group,Wholesale,Product 29,6,1259.6000000000001,7557.6,831.3360000000001,MI,Michigan,Midwest,42.96336,-85.66809,594471.5700000001
SO - 0006738,2017-03-11,Holston Company,Distributor,Product 3,5,1996.6000000000001,9983.0,1078.1640000000002,CA,California,West,37.00578,-121.56828,2642352.432
SO - 0007311,2017-03-11,Ozu Ltd,Wholesale,Product 12,9,214.4,1929.6000000000001,180.096,IL,Illinois,Midwest,42.11043,-88.30135,1356976.996
SO - 0008552,2017-03-11,Talane Group,Wholesale,Product 16,8,2452.2000000000003,19617.600000000002,1324.1880000000003,NJ,New Jersey,Northeast,39.92595,-75.11962,2062061.144
SO - 0002467,2017-03-11,Liberty Group,Distributor,Product 20,5,2472.3,12361.5,1161.981,CA,California,West,33.19587,-117.37948,2067108.1199999999
SO - 0003211,2017-03-11,Kaymbo Company,Wholesale,Product 25,9,2385.2000000000003,21466.800000000003,1550.3800000000003,CA,California,West,32.67806,-117.09917,5342315.484
SO - 0004226,2017-03-11,Vitz Company,Wholesale,Product 15,11,924.6,10170.6,656.466,IN,Indiana,Midwest,41.65183,-85.94312,3299478.315
SO - 0007406,2017-03-11,Divanoodle Ltd,Wholesale,Product 16,10,1708.5,17085.0,1008.015,CA,California,West,34.57943,-118.11646,2062061.144
SO - 0007757,2017-03-11,WOCKHARDT Group,Wholesale,Product 26,12,5406.900000000001,64882.8,4325.52,WI,Wisconsin,Midwest,44.51916,-88.01983,5685138.2700000005
SO - 0010541,2017-03-11,Wordtune Company,Distributor,Product 26,12,1889.4,22672.800000000003,963.594,CA,California,West,37.44188,-122.14302,5685138.2700000005
SO - 000447,2017-03-11,Jabbercube Corp,Export,Product 14,6,3490.7000000000003,20944.2,1780.257,CA,California,West,33.86751,-117.99812,4028698.4090000005
SO - 000750,2017-03-11,Aromaticos Company,Distributor,Product 15,11,6318.1,69499.1,2590.421,TX,Texas,South,31.75872,-106.48693,3299478.315
SO - 0002707,2017-03-11,Twinte Group,Wholesale,Product 25,9,2572.8,23155.2,1955.3280000000002,NJ,New Jersey,Northeast,40.63371,-74.40737,5342315.484
SO - 0002783,2017-03-11,Quaxo Ltd,Distributor,Product 25,5,167.5,837.5,117.24999999999999,IL,Illinois,Midwest,42.02911,-88.08951,5342315.484
SO - 0003309,2017-03-11,Vimbo Company,Export,Product 19,7,2351.7000000000003,16461.9,1622.673,VA,Virginia,South,38.63706,-77.31109,1645841.6
SO - 0003910,2017-03-11,Skajo Ltd,Export,Product 27,8,5293.0,42344.0,2487.71,WA,Washington,West,48.75955,-122.48822,964940.2310000001
SO - 0004023,2017-03-11,Camido Company,Wholesale,Product 26,5,1775.5,8877.5,1384.89,IL,Illinois,Midwest,42.08836,-87.98063,5685138.2700000005
SO - 0006250,2017-03-11,Skajo Ltd,Wholesale,Product 30,5,1882.7,9413.5,1299.0629999999999,TX,Texas,South,32.58986,-96.85695,1011609.684
SO - 0006750,2017-03-11,NARS Group,Wholesale,Product 20,12,1775.5,21306.0,1083.055,MA,Massachusetts,Northeast,42.1487,-72.60787,2067108.1199999999
SO - 0007507,2017-03-11,Actavis Company,Wholesale,Product 14,5,1701.8,8509.0,1412.494,RI,Rhode Island,Northeast,41.82399,-71.41283,4028698.4090000005
SO - 000122,2017-03-12,Aimbo Corp,Export,Product 26,12,991.6,11899.2,654.456,AL,Alabama,South,32.36681,-86.29997,5685138.2700000005
SO - 0001905,2017-03-12,Vitz Company,Wholesale,Product 13,9,2626.4,23637.600000000002,2101.1200000000003,LA,Louisiana,South,29.984090000000002,-90.15285,3720639.645
SO - 0001938,2017-03-12,Snaptags Ltd,Wholesale,Product 21,6,1172.5,7035.0,644.875,CT,Connecticut,Northeast,41.76204,-72.74204,959899.2180000001
SO - 0002715,2017-03-12,Twinte Group,Wholesale,Product 4,6,3839.1,23034.6,2495.415,NY,New York,Northeast,42.12662,-76.03324,2885560.824
SO - 0004538,2017-03-12,Quaxo Ltd,Wholesale,Product 22,9,2559.4,23034.600000000002,1791.58,CA,California,West,33.96358,-117.56418,663601.902
SO - 0005091,2017-03-12,Gabvine Ltd,Export,Product 9,9,1018.4,9165.6,407.36,VA,Virginia,South,36.84681,-76.28522,710415.405
SO - 0005470,2017-03-12,Cogidoo Company,Export,Product 25,7,234.5,1641.5,192.29,IL,Illinois,Midwest,41.51591,-87.60098,5342315.484
SO - 0006483,2017-03-12,Valeant Corp,Wholesale,Product 13,8,2519.2000000000003,20153.600000000002,1158.832,MA,Massachusetts,Northeast,42.52787,-70.92866,3720639.645
SO - 0007885,2017-03-12,Accudial Company,Distributor,Product 23,5,3966.4,19832.0,1745.2160000000001,MA,Massachusetts,Northeast,42.32385,-71.142,1135815.7580000001
SO - 0007974,2017-03-12,Viva Ltd,Wholesale,Product 13,8,730.3000000000001,5842.400000000001,460.08900000000006,GA,Georgia,South,34.03945,-84.35095,3720639.645
SO - 0009663,2017-03-12,Zooxo Ltd,Distributor,Product 29,11,991.6,10907.6,644.5400000000001,AL,Alabama,South,31.2337,-85.40682,594471.5700000001
SO - 0001009,2017-03-12,Aimbo Corp,Wholesale,Product 4,10,3289.7000000000003,32897.0,1875.129,IL,Illinois,Midwest,42.03336,-87.73339,2885560.824
SO - 0003800,2017-03-12,Yombu Corp,Wholesale,Product 29,5,5621.3,28106.5,2754.437,TX,Texas,South,29.69106,-95.2091,594471.5700000001
SO - 0006099,2017-03-12,Omba Group,Distributor,Product 11,5,1152.4,5762.0,691.44,FL,Florida,South,26.93422,-80.09421,1230458.484
SO - 0007394,2017-03-12,CLINIQUE Ltd,Wholesale,Product 4,6,207.70000000000002,1246.2,149.544,FL,Florida,South,25.70816,-80.407,2885560.824
SO - 0007598,2017-03-12,WOONSOCKET Corp,Export,Product 6,12,1085.4,13024.800000000001,477.576,IL,Illinois,Midwest,41.93807,-87.8685,1672229.416
SO - 0008840,2017-03-12,Actavis Company,Distributor,Product 2,7,844.2,5909.400000000001,616.266,MO,Missouri,Midwest,39.76861,-94.84663,3050087.565
SO - 0008202,2017-03-12,Aromaticos Company,Distributor,Product 15,8,1112.2,8897.6,767.418,IL,Illinois,Midwest,41.71087,-87.75811,3299478.315
SO - 000765,2017-03-12,WOCKHARDT Group,Distributor,Product 7,10,1976.5,19765.0,1581.2,CA,California,West,37.42827,-121.90662,889737.555
SO - 000860,2017-03-12,BTA Corp,Distributor,Product 25,10,3189.2000000000003,31892.000000000004,2264.332,LA,Louisiana,South,32.46688,-93.79219,5342315.484
SO - 0001694,2017-03-12,State Ltd,Wholesale,Product 25,7,1112.2,7785.400000000001,756.296,OR,Oregon,West,45.52289,-122.98983,5342315.484
SO - 0001736,2017-03-12,Realpoint Corp,Distributor,Product 11,10,207.70000000000002,2077.0,120.46600000000001,MN,Minnesota,Midwest,44.94441,-93.09327,1230458.484
SO - 0003192,2017-03-12,Flipstorm Group,Distributor,Product 5,8,214.4,1715.2,150.07999999999998,NJ,New Jersey,Northeast,40.06177,-74.10956,3925424.5420000004
SO - 0003375,2017-03-12,Lazzy Group,Distributor,Product 3,9,1822.4,16401.600000000002,911.2,NM,New Mexico,West,35.28507,-106.69887,2642352.432
SO - 0003459,2017-03-12,Internatio Company,Export,Product 16,9,1058.6000000000001,9527.400000000001,539.8860000000001,WA,Washington,West,47.64177,-122.0804,2062061.144
SO - 0004078,2017-03-12,Fivechat Company,Wholesale,Product 5,6,1139.0,6834.0,501.16,FL,Florida,South,26.33981,-81.7787,3925424.5420000004
SO - 0005779,2017-03-12,Skyble Corp,Wholesale,Product 25,7,1018.4,7128.8,814.72,MI,Michigan,Midwest,42.33143,-83.04575,5342315.484
SO - 0009852,2017-03-12,Realcube Company,Export,Product 20,8,917.9,7343.2,541.5609999999999,NH,New Hampshire,Northeast,42.76537,-71.46757,2067108.1199999999
SO - 0008711,2017-03-12,Family Corp,Wholesale,Product 18,10,2351.7000000000003,23517.000000000004,1293.4350000000002,FL,Florida,South,26.14036,-80.21338,2309499.045
SO - 0008642,2017-03-12,Fivechat Company,Wholesale,Product 25,10,696.8000000000001,6968.000000000001,578.344,TX,Texas,South,33.57786,-101.85517,5342315.484
SO - 0008751,2017-03-12,SUPERVALU Ltd,Wholesale,Product 25,8,6157.3,49258.4,4617.975,CA,California,West,38.29714,-122.28553,5342315.484
SO - 000346,2017-03-12,Accord Group,Wholesale,Product 25,5,3899.4,19497.0,1871.712,CA,California,West,34.69804,-118.13674,5342315.484
SO - 0002135,2017-03-12,Oozz Group,Wholesale,Product 12,7,2385.2000000000003,16696.4,1454.9720000000002,AZ,Arizona,West,33.35283,-111.78903,1356976.996
SO - 0004125,2017-03-12,Buzzshare Company,Wholesale,Product 1,10,2224.4,22244.0,1846.252,TX,Texas,South,32.35126,-95.30106,3016489.209
SO - 0006661,2017-03-12,Dynazzy Company,Wholesale,Product 17,6,3370.1,20220.6,2257.967,OH,Ohio,Midwest,41.45282,-82.18237,2119616.824
SO - 0007858,2017-03-12,Gigabox Group,Distributor,Product 25,8,1172.5,9380.0,867.65,CA,California,West,37.56299,-122.32553,5342315.484
SO - 0009487,2017-03-12,Talane Group,Wholesale,Product 5,8,1038.5,8308.0,654.255,WA,Washington,West,46.60207,-120.5059,3925424.5420000004
SO - 000240,2017-03-12,Walgreen Corp,Wholesale,Product 29,6,891.1,5346.6,712.8800000000001,PA,Pennsylvania,Northeast,40.02991,-75.27897,594471.5700000001
SO - 0005575,2017-03-12,Muxo Group,Wholesale,Product 29,9,1842.5,16582.5,1068.6499999999999,WA,Washington,West,47.60621,-122.33207,594471.5700000001
SO - 0007243,2017-03-12,Pacific Ltd,Distributor,Product 20,12,2546.0,30552.0,1654.9,CA,California,West,36.67774,-121.6555,2067108.1199999999
SO - 0007634,2017-03-12,Vitz Company,Wholesale,Product 14,9,1085.4,9768.6,835.758,MI,Michigan,Midwest,42.24087,-83.26965,4028698.4090000005
SO - 000107,2017-03-12,Snaptags Ltd,Distributor,Product 22,10,1192.6000000000001,11926.000000000002,536.6700000000001,IL,Illinois,Midwest,41.5136,-87.84645,663601.902
SO - 0001663,2017-03-12,Valeant Corp,Export,Product 14,11,1132.3,12455.3,781.2869999999999,CA,California,West,33.03699,-117.29198,4028698.4090000005
SO - 0003304,2017-03-12,Aimbo Corp,Wholesale,Product 25,12,1051.9,12622.800000000001,778.4060000000001,IN,Indiana,Midwest,39.47555,-87.38835,5342315.484
SO - 0003726,2017-03-12,Oba Company,Distributor,Product 13,12,187.6,2251.2,157.584,AL,Alabama,South,34.69901,-86.67298,3720639.645
SO - 0004507,2017-03-12,Accudial Company,Wholesale,Product 3,8,3852.5,30820.0,2041.825,IL,Illinois,Midwest,41.50829,-88.08257,2642352.432
SO - 0005369,2017-03-12,Eayo Company,Distributor,Product 14,11,3175.8,34933.8,2318.3340000000003,NV,Nevada,West,36.02525,-115.24194,4028698.4090000005
SO - 0005397,2017-03-12,Pfizer Corp,Export,Product 4,9,1989.9,17909.100000000002,994.95,SC,South Carolina,South,34.85262,-82.39401,2885560.824
SO - 0005876,2017-03-12,NCS Group,Distributor,Product 26,11,3953.0,43483.0,2767.1,IA,Iowa,Midwest,42.03471,-93.61994,5685138.2700000005
SO - 0007929,2017-03-12,Buzzshare Company,Distributor,Product 2,11,3752.0,41272.0,2363.76,FL,Florida,South,26.00315,-80.22394,3050087.565
SO - 0009453,2017-03-12,Valeant Corp,Distributor,Product 14,11,2586.2000000000003,28448.200000000004,1965.5120000000002,CT,Connecticut,Northeast,41.20569,-73.12799,4028698.4090000005
